scientific_name,common_name,family,height (feet),height_min,height_max,spread (feet),spread_min,spread_max,type,bloom_time,bloom_start,bloom_end,maintenance,sun,sun_max,sun_min,water,zone,zone_min,zone_max,bloom_desc,native_range
Abeliophyllum distichum,White Forsythia,Oleaceae,3.00 to 5.00,3.0,5.0,3.00 to 4.00,3.0,4.0,Deciduous shrub,March to April,March,April,Low,Full sun to part shade,full sun,part shade,Medium,5 to 8,5,8,"White, sometimes with a pink tinge", Korea
Abelmoschus esculentus,Okra,Malvaceae,3.00 to 5.00,3.0,5.0,3.00 to 5.00,3.0,5.0,Annual,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun,full sun,,Medium,2 to 11,2,11,Yellow with purple center, Old World Tropics
Abelmoschus esculentus 'Baby Bubba',Okra,Malvaceae,1.00 to 2.00,1.0,2.0,1.00 to 2.00,1.0,2.0,Annual,Seasonal bloomer,Seasonal bloomer,,Low,Full sun,full sun,,Medium,2 to 10,2,10,Light yellow,
Abelmoschus manihot,Sunset Huskmallow,Malvaceae,4.00 to 6.00,4.0,6.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,July to frost,July,frost,Low,Full sun,full sun,,Medium,8 to 10,8,10,Pale yellow with maroon eye, Southeastern Asia
Abelmoschus moschatus,Musk Mallow,Malvaceae,1.50 to 2.00,1.5,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,June to frost,June,frost,Low,Full sun,full sun,,Medium,9 to 11,9,11,Yellow to pink to orange-red, Tropical Asia
Abies balsamea,Balsam Fir,Pinaceae,50.00 to 70.00,50.0,70.0,15.00 to 25.00,15.0,25.0,Needled evergreen,Non-flowering,Non-flowering,,Medium,Full sun to part shade,full sun,part shade,Medium,3 to 6,3,6,Non-flowering, North America
Abies balsamea 'Jamy',Balsam Fir,Pinaceae,1.00 to 1.50,1.0,1.5,1.00 to 1.50,1.0,1.5,Needled evergreen,Non-flowering,Non-flowering,,Medium,Full sun to part shade,full sun,part shade,Medium,3 to 6,3,6,Non-flowering,
Abies balsamea 'Nana',Balsam Fir,Pinaceae,1.00 to 2.00,1.0,2.0,1.00 to 2.00,1.0,2.0,Needled evergreen,Non-flowering,Non-flowering,,Medium,Full sun to part shade,full sun,part shade,Medium,3 to 6,3,6,Non-flowering,
Abies concolor,White Fir,Pinaceae,40.00 to 70.00,40.0,70.0,20.00 to 30.00,20.0,30.0,Needled evergreen,Non-flowering,Non-flowering,,Medium,Full sun to part shade,full sun,part shade,Medium,3 to 7,3,7,Non-flowering," Western United States, Mexico"
Abies firma,Momi Fir,Pinaceae,40.00 to 60.00,40.0,60.0,30.00 to 50.00,30.0,50.0,Needled evergreen,Non-flowering,Non-flowering,,Low,Full sun to part shade,full sun,part shade,Medium,6 to 9,6,9,, Japan
Abies fraseri,Fraser Fir,Pinaceae,30.00 to 50.00,30.0,50.0,10.00 to 25.00,10.0,25.0,Needled evergreen,Non-flowering,Non-flowering,,Medium,Full sun to part shade,full sun,part shade,Medium,4 to 7,4,7,, Southeastern United States
Abies fraseri 'Kline's Nest',Frazier Fir,Pinaceae,3.00 to 4.00,3.0,4.0,4.00 to 6.00,4.0,6.0,Needled evergreen,Non-flowering,Non-flowering,,Medium,Full sun to part shade,full sun,part shade,Medium,4 to 7,4,7,Non-flowering,
Abies grandis,Grand Fir,Pinaceae,100.00 to 250.00,100.0,250.0,20.00 to 35.00,20.0,35.0,Needled evergreen,Non-flowering,Non-flowering,,Medium,Full sun to part shade,full sun,part shade,Medium,5 to 6,5,6,Non-flowering, Northwestern United States
Aconitum napellus,Monkshood,Ranunculaceae,2.00 to 4.00,2.0,4.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,July to August,July,August,Medium,Full sun to part shade,full sun,part shade,Medium,3 to 7,3,7,Deep purplish blue, Europe
Aconitum 'Spark's Variety',Monkshood,Ranunculaceae,2.00 to 4.00,2.0,4.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,July to August,July,August,Medium,Full sun to part shade,full sun,part shade,Medium,3 to 7,3,7,Violet-blue,
Aconitum volubile,Monkshood,Ranunculaceae,8.00 to 12.00,8.0,12.0,1.50 to 3.00,1.5,3.0,Vine,August to September,August,September,Medium,Full sun to part shade,full sun,part shade,Medium,4 to 8,4,8,Purple, Eastern Asia
Acorus calamus,Sweet Flag,Acoraceae,2.00 to 2.50,2.0,2.5,1.50 to 2.00,1.5,2.0,Rush or Sedge,Non-flowering,Non-flowering,,Low,Full sun to part shade,full sun,part shade,Medium to wet,4 to 10,4,10,Non-flowering (not showy)," North America, Asia"
Acorus calamus 'Variegatus',Sweet Flag,Acoraceae,2.00 to 2.50,2.0,2.5,1.50 to 2.00,1.5,2.0,Herbaceous perennial,Flowers not showy,Flowers not showy,,Low,Full sun to part shade,full sun,part shade,Medium to wet,4 to 10,4,10,Green,
Acorus gramineus,Grassy-leaved Sweet Flag,Acoraceae,0.50 to 1.00,0.5,1.0,0.50 to 1.00,0.5,1.0,Herbaceous perennial,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium to wet,6 to 9,6,9,Yellow-green, Eastern Asia
Acorus gramineus 'Minimus Aureus',Grassy-leaved Sweet Flag,Acoraceae,0.25 to 0.50,0.25,0.5,0.50 to 0.75,0.5,0.75,Herbaceous perennial,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium to wet,5 to 7,5,7,Greenish yellow,
Acorus gramineus 'Oborozuki',Grassy-leaved Sweet Flag,Acoraceae,0.50 to 1.00,0.5,1.0,0.50 to 1.00,0.5,1.0,Herbaceous perennial,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,5 to 8,5,8,Yellow-green,
Acorus gramineus 'Ogon',Grassy-leaved Sweet Flag,Acoraceae,0.50 to 1.00,0.5,1.0,0.50 to 1.00,0.5,1.0,Herbaceous perennial,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,5 to 9,5,9,Greenish yellow,
Acorus gramineus 'Pusillus Minimus Aureus',Grassy-leaved Sweet Flag,Acoraceae,0.25 to 0.50,0.25,0.5,0.50 to 0.75,0.5,0.75,Herbaceous perennial,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium to wet,5 to 7,5,7,Yellow green,
Acorus gramineus 'Variegatus',Grassy-leaved Sweet Flag,Acoraceae,0.50 to 1.00,0.5,1.0,0.50 to 1.00,0.5,1.0,Herbaceous perennial,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,5 to 8,5,8,Greenish yellow,
Actaea 'Chocoholic',Bugbane,Ranunculaceae,3.00 to 4.00,3.0,4.0,2.50 to 3.00,2.5,3.0,Herbaceous perennial,August to September,August,September,Low,Part shade to full shade,part shade,full shade,Medium,4 to 8,4,8,Mauve-pink,
Actaea dahurica,Bugbane,Ranunculaceae,3.00 to 6.00,3.0,6.0,2.50 to 3.00,2.5,3.0,Herbaceous perennial,August to September,August,September,Medium,Part shade to full shade,part shade,full shade,Medium,4 to 9,4,9,Cream white, Asia
Actaea matsumurae 'White Pearl',Bugbane,Ranunculaceae,3.00 to 4.00,3.0,4.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,August to September,August,September,Medium,Part shade to full shade,part shade,full shade,Medium,4 to 9,4,9,White,
Actaea pachypoda,White Baneberry,Ranunculaceae,1.50 to 2.50,1.5,2.5,2.00 to 3.00,2.0,3.0,Herbaceous perennial,May to June,May,June,Low,Part shade to full shade,part shade,full shade,Medium,3 to 8,3,8,White, Eastern North America
Actaea 'Pink Spire',Bugbane,Ranunculaceae,2.00 to 4.00,2.0,4.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,August to September,August,September,Low,Part shade to full shade,part shade,full shade,Medium,4 to 8,4,8,Pale pink,
Actaea podocarpa,Bugbane,Ranunculaceae,3.00 to 7.00,3.0,7.0,2.00 to 4.00,2.0,4.0,Herbaceous perennial,August to September,August,September,Medium,Part shade to full shade,part shade,full shade,Medium,3 to 9,3,9,White, Eastern United States
Actaea racemosa,Black Cohosh,Ranunculaceae,4.00 to 6.00,4.0,6.0,2.00 to 4.00,2.0,4.0,Herbaceous perennial,June to July,June,July,Low,Part shade to full shade,part shade,full shade,Medium,3 to 8,3,8,White, North America
Actaea simplex,Bugbane,Ranunculaceae,3.00 to 4.00,3.0,4.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,August to September,August,September,Medium,Part shade to full shade,part shade,full shade,Medium,4 to 8,4,8,White, Asia
Actaea simplex (Atropurpurea Group),Bugbane,Ranunculaceae,4.00 to 6.00,4.0,6.0,2.00 to 4.00,2.0,4.0,Herbaceous perennial,August to September,August,September,Low,Part shade to full shade,part shade,full shade,Medium,3 to 8,3,8,White,
Actaea simplex (Atropurpurea Group) 'Black Negligee',Bugbane,Ranunculaceae,4.00 to 5.00,4.0,5.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,August to September,August,September,Low,Part shade to full shade,part shade,full shade,Medium,5 to 8,5,8,White with purple tinge,
Actaea simplex (Atropurpurea Group) 'Brunette',Bugbane,Ranunculaceae,3.00 to 4.00,3.0,4.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,August to September,August,September,Low,Part shade to full shade,part shade,full shade,Medium,3 to 8,3,8,White,
Actaea simplex (Atropurpurea Group) 'Hillside Black Beauty',Bugbane,Ranunculaceae,4.00 to 6.00,4.0,6.0,2.00 to 4.00,2.0,4.0,Herbaceous perennial,September to October,September,October,Low,Part shade to full shade,part shade,full shade,Medium,4 to 8,4,8,White,
Actaea simplex (Atropurpurea Group) 'James Compton',Bugbane,Ranunculaceae,2.50 to 3.00,2.5,3.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,August to September,August,September,Low,Part shade to full shade,part shade,full shade,Medium,3 to 8,3,8,Creamy white,
Dietes iridioides,Dietes,Iridaceae,2.00 to 4.00,2.0,4.0,2.00 to 3.00,2.0,3.0,Herbaceous perennial,May to September,May,September,Medium,Full sun to part shade,full sun,part shade,Medium,9 to 11,9,11,White with yellow and blue markings, Southern and eastern Africa
× Digiplexis 'Berry Canary',Isoplexis/digitalis Hybrid,Plantaginaceae,2.50 to 3.00,2.5,3.0,1.75 to 2.00,1.75,2.0,Herbaceous perennial,May to frost,May,frost,Medium,Full sun,full sun,,Medium,8 to 10,8,10,Pink-purple with yellow throat and burgundy spots,
Digitalis ferruginea,Rusty Foxglove,Plantaginaceae,3.00 to 5.00,3.0,5.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to June,May,June,Low,Part shade,part shade,,Medium,4 to 8,4,8,Creamy yellow to pale golden brown with rusty interior veining, Europe
Digitalis ferruginea 'Gelber Herold',Rusty Foxglove,Plantaginaceae,3.00 to 5.00,3.0,5.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,June to July,June,July,Low,Part shade,part shade,,Medium,4 to 8,4,8,Yellow with interior rusty veining,
Digitalis FOXLIGHT RUBY GLOW,Foxglove,Plantaginaceae,1.50 to 2.00,1.5,2.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,May to June,May,June,Medium,Full sun to part shade,full sun,part shade,Medium,7 to 10,7,10,Dark pink with orange interior,
Digitalis grandiflora,Large Yellow Foxglove,Plantaginaceae,2.00 to 3.00,2.0,3.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to June,May,June,Low,Part shade,part shade,,Medium,3 to 8,3,8,Yellow, Europe
Digitalis × mertonensis,Strawberry Foxglove,Plantaginaceae,3.00 to 4.00,3.0,4.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium,4 to 8,4,8,Coppery rose, Garden origin
Digitalis obscura,Willow-leaved Foxglove,Plantaginaceae,1.00 to 2.00,1.0,2.0,0.75 to 1.50,0.75,1.5,Herbaceous perennial,May to June,May,June,Low,Part shade,part shade,,Medium,4 to 8,4,8,Rusty-orange to greenish-yellow, Spain
Digitalis purpurea,Common Foxglove,Plantaginaceae,2.00 to 5.00,2.0,5.0,1.00 to 2.50,1.0,2.5,Herbaceous perennial,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium,4 to 8,4,8,"Strawberry pink, white, or purple"," Western, southern, and central Europe"
Digitalis purpurea 'Candy Mountain',Common Foxglove,Plantaginaceae,3.00 to 4.00,3.0,4.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to July,May,July,Low,Full sun to part shade,full sun,part shade,Medium to wet,4 to 9,4,9,Pink,
Digitalis purpurea (Excelsior Group),Common Foxglove,Plantaginaceae,3.00 to 5.00,3.0,5.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,June to July,June,July,Medium,Full sun to part shade,full sun,part shade,Medium,4 to 8,4,8,"Pastel shades of purple, pink, yellow and white",
Digitalis purpurea f. albiflora,Common Foxglove,Plantaginaceae,3.00 to 5.00,3.0,5.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium,4 to 8,4,8,White," Western, southern, and central Europe"
Digitalis purpurea (Foxy Group),Common Foxglove,Plantaginaceae,2.00 to 3.00,2.0,3.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,May to June,May,June,Medium,Full sun to part shade,full sun,part shade,Medium,4 to 8,4,8,"Pastel shades of purple, pink, red, cream, yellow and white",
Digitalis purpurea 'Pam's Choice',Common Foxglove,Plantaginaceae,3.00 to 4.00,3.0,4.0,1.00 to 2.50,1.0,2.5,Herbaceous perennial,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Medium,4 to 8,4,8,White with maroon throat and interior spotting,
Digitalis purpurea 'Sutton's Apricot',Common Foxglove,Plantaginaceae,3.00 to 4.00,3.0,4.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium,4 to 8,4,8,Pale apricot-orange,
Digitalis 'Takforoiv' FOXLIGHT ROSE IVORY,Foxglove,Plantaginaceae,1.50 to 2.00,1.5,2.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,May to June,May,June,Medium,Full sun to part shade,full sun,part shade,Medium,7 to 10,7,10,Rose-pink with pale orange interior,
Digitalis thapsi 'Spanish Peaks',Mullein Foxglove,Plantaginaceae,1.50 to 2.00,1.5,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,June to July,June,July,Low,Full sun to part shade,full sun,part shade,Medium,5 to 9,5,9,Raspberry-rose,
Dimocarpus longan,Longan,Sapindaceae,30.00 to 40.00,30.0,40.0,35.00 to 45.00,35.0,45.0,Tree,April,April,,Low,Full sun to part shade,full sun,part shade,Medium,10 to 12,10,12,Pale yellow to white, Southeastern Asia
Dimorphotheca pluvialis,Weather Prophet,Asteraceae,0.75 to 1.50,0.75,1.5,0.50 to 1.00,0.5,1.0,Annual,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun,full sun,,Dry to medium,2 to 11,2,11,White rays with yellow-brown center disk," South Africa, Namibia"
Dionaea muscipula,Venus Fly Trap,Droseraceae,0.50 to 1.00,0.5,1.0,0.50 to 0.75,0.5,0.75,Herbaceous perennial,May to June,May,June,High,Full sun to part shade,full sun,part shade,Wet,5 to 8,5,8,White," North Carolina, South Carolina"
Dionaea muscipula 'Akai Ryu',Venus Fly Trap,Droseraceae,5.00 to 1.00,5.0,1.0,0.50 to 0.75,0.5,0.75,Herbaceous perennial,May to June,May,June,High,Full sun to part shade,full sun,part shade,Wet,5 to 8,5,8,White,
Dionaea muscipula 'Cup-shaped',Venus Fly Trap,Droseraceae,0.50 to 1.00,0.5,1.0,0.50 to 0.75,0.5,0.75,Herbaceous perennial,May to June,May,June,High,Full sun to part shade,full sun,part shade,Wet,5 to 8,5,8,White,
Dionaea muscipula 'King Henry',Venus Fly Trap,Droseraceae,0.25 to 0.50,0.25,0.5,0.25 to 0.50,0.25,0.5,Herbaceous perennial,May to June,May,June,High,Full sun to part shade,full sun,part shade,Wet,5 to 8,5,8,White,
Dioon edule,Cycad,Zamiaceae,6.00 to 8.00,6.0,8.0,4.00 to 6.00,4.0,6.0,Palm or Cycad,Non-flowering,Non-flowering,,Low,Full sun to part shade,full sun,part shade,Medium,9 to 11,9,11,Non-flowering, Mexico
Dioscorea alata,Water Yam,Dioscoreaceae,20.00 to 30.00,20.0,30.0,3.00 to 6.00,3.0,6.0,Vine,Seasonal bloomer,Seasonal bloomer,,Medium,Full sun to part shade,full sun,part shade,Medium,9 to 11,9,11,Yellow-white, India to Malay Peninsula
Dioscorea discolor,Ornamental Yam,Dioscoreaceae,10.00 to 12.00,10.0,12.0,3.00 to 6.00,3.0,6.0,Vine,Seasonal bloomer,Seasonal bloomer,,Low,Full sun,full sun,,Medium,9 to 11,9,11,White, Tropical South America
Dioscorea (vegetable group),White Yam,Dioscoreaceae,1.00 to 2.00,1.0,2.0,4.00 to 20.00,4.0,20.0,Bulb,Seasonal bloomer,Seasonal bloomer,,Low,Full sun to part shade,full sun,part shade,Medium,9 to 12,9,12,White,
Diospyros kaki,Kaki,Ebenaceae,20.00 to 30.00,20.0,30.0,20.00 to 30.00,20.0,30.0,Tree,May to June,May,June,Low,Full sun,full sun,,Medium,7 to 10,7,10,Creamy white (female)Pink (male), Eastern Asia
Diospyros kaki 'Dagaishi',Japanese Persimmon,Ebenaceae,20.00 to 30.00,20.0,30.0,20.00 to 30.00,20.0,30.0,Tree,May to June,May,June,Low,Full sun,full sun,,Medium,7 to 10,7,10,Creamy white (female) Pink (male),
Diospyros kaki 'Fuyu',Kaki,Ebenaceae,20.00 to 30.00,20.0,30.0,20.00 to 30.00,20.0,30.0,Tree,May to June,May,June,Low,Full sun,full sun,,Medium,7 to 10,7,10,Creamy white (female)Pink (male),
Diospyros virginiana,Persimmon,Ebenaceae,35.00 to 60.00,35.0,60.0,25.00 to 35.00,25.0,35.0,Tree,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Dry to medium,4 to 9,4,9,White to greenish yellow, Eastern and midwestern United States
Diospyros virginiana 'Meader',Persimmon,Ebenaceae,20.00 to 30.00,20.0,30.0,15.00 to 20.00,15.0,20.0,Tree,May to June,May,June,Low,Full sun to part shade,full sun,part shade,Dry to medium,4 to 9,4,9,White to greenish-yellow,
Dipelta floribunda,Rosy Dipelta,Caprifoliaceae,12.00 to 15.00,12.0,15.0,9.00 to 12.00,9.0,12.0,Deciduous shrub,May to June,May,June,Medium,Full sun to part shade,full sun,part shade,Medium,5 to 7,5,7,Pinkish-white with yellow throat, Central and western China
Diplazium pycnocarpon,Glade Fern,Athyriaceae,2.00 to 3.00,2.0,3.0,2.00 to 3.00,2.0,3.0,Fern,Non-flowering,Non-flowering,,Low,Part shade to full shade,part shade,full shade,Medium,3 to 8,3,8,Non-flowering, North America
Dipsacus fullonum,Common Teasel,Caprifoliaceae,4.00 to 6.00,4.0,6.0,1.00 to 2.50,1.0,2.5,Annual,July to September,July,September,Low,Full sun to part shade,full sun,part shade,Medium,3 to 8,3,8,Pink to purple," Europe, Asia"
Dirca palustris,Leatherwood,Thymelaeaceae,4.00 to 6.00,4.0,6.0,4.00 to 6.00,4.0,6.0,Deciduous shrub,March to April,March,April,Low,Part shade to full shade,part shade,full shade,Medium,3 to 9,3,9,Pale lemon yellow, Eastern United States
Disanthus cercidifolius,Disanthus,Hamamelidaceae,6.00 to 10.00,6.0,10.0,8.00 to 10.00,8.0,10.0,Deciduous shrub,October,October,,Medium,Part shade to full shade,part shade,full shade,Medium,5 to 8,5,8,Purple," China, Japan"
Disporopsis arisanensis,Solomon's Seal,Asparagaceae,0.75 to 1.00,0.75,1.0,0.75 to 1.00,0.75,1.0,Herbaceous perennial,June,June,,Medium,Part shade to full shade,part shade,full shade,Medium to wet,7 to 9,7,9,Creamy white, Taiwan
Disporopsis pernyi,Evergreen Solomon's Seal,Asparagaceae,1.00 to 1.50,1.0,1.5,0.75 to 1.00,0.75,1.0,Herbaceous perennial,May to June,May,June,Low,Part shade to full shade,part shade,full shade,Medium,6 to 9,6,9,Creamy white, China
Disporum cantoniense,Fairy Bells,Colchicaceae,3.00 to 5.00,3.0,5.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,June to July,June,July,Low,Part shade to full shade,part shade,full shade,Medium,4 to 9,4,9,White to greenish-yellow," Himalayas, China, southwestern Asia"
Disporum cantoniense 'Night Heron',Fairy Bells,Colchicaceae,3.00 to 5.00,3.0,5.0,1.50 to 2.00,1.5,2.0,Herbaceous perennial,June to July,June,July,Low,Part shade to full shade,part shade,full shade,Medium,5 to 10,5,10,Greenish-white,
Disporum flavens,Fairy Bells,Colchicaceae,2.00 to 2.50,2.0,2.5,0.75 to 1.00,0.75,1.0,Herbaceous perennial,April,April,,Low,Part shade to full shade,part shade,full shade,Medium,5 to 8,5,8,Soft yellow, Korea
Disporum lutescens,Fairy Bells,Colchicaceae,0.50 to 1.00,0.5,1.0,0.50 to 1.00,0.5,1.0,Herbaceous perennial,May to June,May,June,Medium,Part shade to full shade,part shade,full shade,Medium,5 to 9,5,9,Yellow, Japan
Disporum sessile 'Variegatum',Fairy Bells,Colchicaceae,1.00 to 2.00,1.0,2.0,1.00 to 3.00,1.0,3.0,Herbaceous perennial,April,April,,Medium,Part shade to full shade,part shade,full shade,Medium,4 to 8,4,8,White,
Dodecatheon meadia,Shooting Star,Primulaceae,0.75 to 1.50,0.75,1.5,0.75 to 1.00,0.75,1.0,Herbaceous perennial,April to May,April,May,Medium,Part shade,part shade,,Medium,4 to 8,4,8,"White, pink, purple", Eastern and central North America
Doronicum 'Little Leo',Leopard's Bane,Asteraceae,0.50 to 1.50,0.5,1.5,0.50 to 1.00,0.5,1.0,Herbaceous perennial,April to May,April,May,Low,Part shade,part shade,,Medium,4 to 7,4,7,Yellow,
Doronicum macrophyllum,Leopard's Bane,Asteraceae,1.50 to 2.00,1.5,2.0,1.00 to 1.50,1.0,1.5,Herbaceous perennial,April to May,April,May,Low,Full sun to part shade,full sun,part shade,Medium,4 to 9,4,9,Y ellow," Iran, Turkey, North Caucasus, Transcaucasus"
Doronicum orientale 'Leonardo Compact',Leopard's Bane,Asteraceae,1.00 to 2.00,1.0,2.0,1.00 to 2.00,1.0,2.0,Herbaceous perennial,April to May,April,May,Low,Full sun to part shade,full sun,part shade,Medium to wet,4 to 8,4,8,Yellow,
Dorotheanthus bellidiformis 'Mesbicla' MEZOO TRAILING RED,Livingstone Daisy,Aizoaceae,0.50 to 0.75,0.5,0.75,1.00 to 2.00,1.0,2.0,Herbaceous perennial,June to October,June,October,Low,Full sun,full sun,,Dry to medium,9 to 10,9,10,Red,
Draba rigida,Draba,Brassicaceae,0.25 to 0.50,0.25,0.5,0.25 to 0.50,0.25,0.5,Herbaceous perennial,April to May,April,May,Low,Full sun,full sun,,Medium,4 to 8,4,8,Yellow flowers," Eastern Turkey, northern Iran, Caucasus"
Draba rigida var. bryoides,Draba,Brassicaceae,0.25 to 0.50,0.25,0.5,0.25 to 0.50,0.25,0.5,Herbaceous perennial,April to May,April,May,Low,Full sun,full sun,,Medium,4 to 8,4,8,Yellow," Eastern Turkey, northern Iran, Caucasus"
Dracaena fragrans,Fragrant Dracaena,Asparagaceae,15.00 to 50.00,15.0,50.0,3.00 to 10.00,3.0,10.0,Broadleaf evergreen,Seasonal bloomer,Seasonal bloomer,,Low,Part shade,part shade,,Medium,10 to 12,10,12,White-yellow, Tropical Africa
Dracaena fragrans (Deremensis Group) 'Lemon Lime',Striped Dracaena,Asparagaceae,5.00 to 10.00,5.0,10.0,3.00 to 5.00,3.0,5.0,Broadleaf evergreen,Seasonal bloomer,Seasonal bloomer,,Low,Part shade,part shade,,Medium,10 to 12,10,12,Yellow,
Dracaena fragrans (Deremensis Group) 'Limelight',Striped Dracaena,Asparagaceae,6.00 to 15.00,6.0,15.0,4.00 to 6.00,4.0,6.0,Broadleaf evergreen,Seasonal bloomer,Seasonal bloomer,,Low,Part shade,part shade,,Medium,10 to 12,10,12,Yellow,
Dracaena marginata,Dragontree,Asparagaceae,15.00 to 20.00,15.0,20.0,3.00 to 10.00,3.0,10.0,Broadleaf evergreen,Seasonal bloomer,Seasonal bloomer,,Low,Part shade,part shade,,Medium,10 to 12,10,12,White," Madagascar, Mauritius"
Dracaena reflexa 'Variegata',Song Of India,Asparagaceae,12.00 to 18.00,12.0,18.0,3.00 to 8.00,3.0,8.0,Broadleaf evergreen,Rarely flowers,Rarely flowers,,Low,Part shade,part shade,,Medium,11 to 12,11,12,White,
